Thématiques,Critères,Accueil|https://metiers.numerique.gouv.fr/,Mentions légales|https://metiers.numerique.gouv.fr/mentions-legales,Découvrez les emplois|https://metiers.numerique.gouv.fr/emplois,Détail d'une page d'offre d'emploi|https://metiers.numerique.gouv.fr/emploi/ingenieure-devops-24d627c1-418f-4dc4-9f96-5367b4446859,Détail d'une institution|https://metiers.numerique.gouv.fr/institution/dnum-des-ministeres-sociaux-travail-et-emploi-14f741d6-9042-49ab-b7aa-af5be60b9ced,Données personnelles|https://metiers.numerique.gouv.fr/donnees-personnelles-et-cookies,,
8,6,c,c,nc| Absence de mise à jour du titre sur les résultats de la recherche,c,c,c,,
8,7,na,na,na,nc| Le changement de langue n'est pas indiqué sur le terme _Cloud Computing_,"nc | Le changement de langue n'est pas indiqué sur le terme ""Product Owner""",c,,
8,8,na,na,na,na,na,na,,
8,9,"nc| Absence de balise de paragraphe `<p>` dans les blocs de ""Qu'est-ce que l'État numérique ?"" (usage de balises <span>) et ""Rencontres"". ",c,c,c,c,c,,
8,10,na,na,na,na,na,na,,
9,1,"nc|Les titres de la page ne sont pas structurés correctement, certains titres sont tronqués. Regrouper les `<h4>` avec les `<h5>` dans une même balise `<h4>`. Par exemple : `<h4><span class=""jaune-br"">Marine</span><span class=""gris"">Responsable (...)</span></h4>`. | S'assurer qu'un titre soit contenu dans un seul `<hn>` avec un niveau logique par rapport à la page.",c,c,c,nc | Les titres de la page ne sont pas structurés correctement.,c,,
9,2,c,c,c,c,c,c,,
9,3,"nc| Les points cités dans le bloc ""Qu'est-ce que l'État numérique ?"" devraient être structurés en tant que liste.",c,c,c,c,c,,
9,4,"nc|Les citations ne sont pas correctement indiquées dans le bloc ""Rencontres"" avec l'élément HTML `<blockquote>` ",na,na,na,na,na,,
10,1,na,c,c,c,c,c,,
10,2,"nc|Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées, par exemple le pictogramme(carré avec une flèche qui va vers l'extérieur) qui représente un lien externe disparait quand on désactive la CSS.",nc|Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées,nc| Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées,nc| Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées,nc| Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées,nc|Le contenu visible porteur d'information disparaît quand les feuilles de styles sont désactivées,,
